risk_score,risk_level,business_age_years,total_violations,violation_rate,total_permits,issued_permits,permit_compliance_rate,recent_violation,high_risk_industry
0.7113680308862252,High,22.26,0,0.0,0,0,1.0,0,0
0.8286759992280622,High,10.03,0,0.0,0,0,1.0,0,0
0.1927136164750026,Low,1.75,0,0.0,0,0,1.0,0,0
0.2953787996366641,Low,3.07,0,0.0,0,0,1.0,0,0
0.5980475873376904,Medium,56.57,0,0.0,0,0,1.0,0,0
0.09495657711121006,Low,0.44,0,0.0,0,0,1.0,0,0
0.3127324624095525,Low,3.23,0,0.0,0,0,1.0,0,0
0.7731695752558251,High,16.4,0,0.0,0,0,1.0,0,0
0.6696118055652656,Medium,6.89,0,0.0,0,0,1.0,0,0
0.21830570456295706,Low,2.06,0,0.0,0,0,1.0,0,0
0.03344326060270059,Low,0.26,0,0.0,0,0,1.0,0,0
0.3540241469167518,Low,2.98,0,0.0,0,0,1.0,0,1
0.7158856877420511,High,9.09,0,0.0,0,0,1.0,0,0
0.02167000779827867,Low,0.09,0,0.0,0,0,1.0,0,0
0.15292305574591913,Low,1.25,0,0.0,0,0,1.0,0,0
0.8342470002849026,High,14.06,0,0.0,0,0,1.0,0,0
0.30130818319056063,Low,1.88,0,0.0,0,0,1.0,0,0
0.07224552967808592,Low,0.53,0,0.0,0,0,1.0,0,0
0.8441286852390265,High,14.45,0,0.0,0,0,1.0,0,0
0.7223157695119523,High,7.23,0,0.0,0,0,1.0,0,0
0.8206488899440494,High,12.65,0,0.0,0,0,1.0,0,0
0.07094441283841842,Low,0.65,0,0.0,0,0,1.0,0,0
0.36259135409223014,Low,3.01,0,0.0,0,0,1.0,0,0
0.45174162928258954,Medium,4.31,0,0.0,0,0,1.0,0,0
0.3219448290315323,Low,2.42,0,0.0,0,0,1.0,0,1
0.23550467586822407,Low,1.79,0,0.0,0,0,1.0,0,0
0.49929464207737373,Medium,5.25,0,0.0,0,0,1.0,0,0
0.6487423337077266,Medium,26.61,0,0.0,0,0,1.0,0,0
0.5628843098651077,Medium,57.31,0,0.0,0,0,1.0,0,0
0.16787285300238888,Low,1.5,0,0.0,0,0,1.0,0,0
0.34779228478744634,Low,4.02,0,0.0,0,0,1.0,0,0
0.15372996384615023,Low,1.02,0,0.0,0,0,1.0,0,0
0.8077750678924646,High,15.8,0,0.0,0,0,1.0,0,0
0.6662613480166159,Medium,37.06,0,0.0,0,0,1.0,0,0
0.2553286295666799,Low,1.93,0,0.0,0,0,1.0,0,0
0.143362206589003,Low,1.56,0,0.0,0,0,1.0,0,0
0.7375252717624458,High,18.28,0,0.0,0,0,1.0,0,0
0.6684963457988028,Medium,20.91,0,0.0,0,0,1.0,0,0
0.24398219340515775,Low,2.18,0,0.0,0,0,1.0,0,0
0.2897168166767726,Low,2.57,0,0.0,0,0,1.0,0,0
0.8342470002849026,High,14.18,0,0.0,0,0,1.0,0,0
0.672876196120178,Medium,6.73,0,0.0,0,0,1.0,0,0
0.13264300374106966,Low,1.12,0,0.0,0,0,1.0,0,0
0.8375059580073522,High,13.71,0,0.0,0,0,1.0,0,0
0.34175103044692373,Low,4.06,0,0.0,0,0,1.0,0,0
0.12303094301882432,Low,1.06,0,0.0,0,0,1.0,0,0
0.7619940244356446,High,19.27,0,0.0,0,0,1.0,0,0
0.8379400259697058,High,15.48,0,0.0,0,0,1.0,0,0
0.5647494843882723,Medium,5.45,0,0.0,0,0,1.0,0,0
0.83929543081171,High,14.59,0,0.0,0,0,1.0,0,0
0.02167000779827867,Low,0.07,0,0.0,0,0,1.0,0,0
0.05369930966589106,Low,0.56,0,0.0,0,0,1.0,0,0
0.672876196120178,Medium,6.71,0,0.0,0,0,1.0,0,0
0.6038396397414724,Medium,21.37,0,0.0,0,0,1.0,0,0
0.40951640215271135,Medium,3.98,0,0.0,0,0,1.0,0,0
0.8077750678924646,High,15.74,0,0.0,0,0,1.0,0,0
0.743152411028576,High,17.06,0,0.0,0,0,1.0,0,0
0.7087750437220123,High,16.06,0,0.0,0,0,1.0,0,0
0.1618390502113732,Low,1.36,0,0.0,0,0,1.0,0,1
0.04473380833198724,Low,0.01,0,0.0,0,0,1.0,0,0
0.521562449220974,Medium,7.06,0,0.0,0,0,1.0,0,0
0.06231781365908458,Low,0.51,0,0.0,0,0,1.0,0,0
0.7932469943022401,High,19.73,0,0.0,0,0,1.0,0,0
0.8149419608910732,High,13.0,0,0.0,0,0,1.0,0,0
0.7472457059913069,High,7.87,0,0.0,0,0,1.0,0,0
0.6662613480166159,Medium,37.06,0,0.0,0,0,1.0,0,0
0.802867377212262,High,10.48,0,0.0,0,0,1.0,0,0
0.1498933898803469,Low,1.21,0,0.0,0,0,1.0,0,0
0.7823947999235309,High,11.07,0,0.0,0,0,1.0,0,0
0.31775547954930705,Low,3.4,0,0.0,0,0,1.0,0,0
0.45977385436288454,Medium,5.23,0,0.0,0,0,1.0,0,0
0.6738438708125041,Medium,6.25,0,0.0,0,0,1.0,0,0
0.0670785253440821,Low,0.55,0,0.0,0,0,1.0,0,0
0.7009267749343436,High,6.94,0,0.0,0,0,1.0,0,0
0.29876110964671687,Low,2.8,0,0.0,0,0,1.0,0,0
0.1927136164750026,Low,1.76,0,0.0,0,0,1.0,0,0
0.10548796733549878,Low,0.85,0,0.0,0,0,1.0,0,0
0.8249117045577512,High,8.92,0,0.0,0,0,1.0,0,0
0.13657066561896664,Low,1.04,0,0.0,0,0,1.0,0,1
0.2018567801883354,Low,1.85,0,0.0,0,0,1.0,0,0
0.7955337669240816,High,16.32,0,0.0,0,0,1.0,0,0
0.8110036105723033,High,13.94,0,0.0,0,0,1.0,0,0
0.5990803496784676,Medium,5.96,0,0.0,0,0,1.0,0,0
0.6856244877961304,Medium,6.83,0,0.0,0,0,1.0,0,0
0.23876278757667008,Low,1.64,0,0.0,0,0,1.0,0,0
0.8021052880462131,High,9.31,0,0.0,0,0,1.0,0,1
0.3275736231385285,Low,1.91,0,0.0,0,0,1.0,0,0
0.6856244877961304,Medium,6.82,0,0.0,0,0,1.0,0,0
0.03956265821379892,Low,0.18,0,0.0,0,0,1.0,0,0
0.02167000779827867,Low,0.11,0,0.0,0,0,1.0,0,0
0.33002550756010013,Low,1.9,0,0.0,0,0,1.0,0,0
